random_09,random_002,random_010,random_011,random_001,random_000
-0.6214330628836892,-49.4412,-0.9230087965704602,-0.1947876512067075,62,-16.7573
-0.4549129916043745,-47.3916,-0.2801835316789428,-0.0845410379745745,34,-18.4831
-0.0018530000718947,-48.7057,-0.6695810682238867,-0.5642761214626976,62,-16.197
-0.1733454617723531,-45.4444,-0.2884795290098925,-0.4034266119335573,37,-19.1551
-0.9733512902102148,-48.8788,-0.6423994016621896,-0.1370913052702359,91,-1.72183
-0.2458461324120144,-39.0416,-0.6831588884916365,-0.0353572259530031,88,-7.34588
-0.6222034498547249,-41.6619,-0.5282170247103242,-0.4013399991907787,77,-13.2488
-0.5930286895326098,-39.1162,-0.7896095293081099,-0.4702474425044701,75,-8.72073
-0.6767073819575746,-50.3133,-0.7259885983107423,-0.7462037002228726,43,-23.3049
-0.7316980449467091,-51.0233,-0.773067096092859,-0.3590462848495713,49,-27.6126
-0.6498393808648982,-48.3933,-0.9431331540216172,-0.670294825625541,94,-4.95333
-0.1622001800100682,-52.3229,-0.7884769400237206,-0.3602937536015126,49,-26.5716
-0.1959738682180852,-42.4743,-0.9216300554163638,-0.4662451194847596,31,-20.2996
-0.9182112879687268,-34.8984,-0.9879880866041438,-0.6582443154799907,81,-7.90072
-0.5964771075519767,-49.1518,-0.5148351078094516,-0.7277022406640666,63,-9.62101
-0.9027001468961232,-43.1439,-0.5559639610404206,-0.6636784632120039,31,-20.359
-0.1590471995212703,-47.5004,-0.4299878043949438,-0.9404974848427552,99,-4.94714
-0.5238531550334797,-38.0197,-0.8534423239678293,-0.0255694222058335,75,-11.6575
-0.3092449579025023,-48.1985,-0.3363284991783337,-0.978510928854172,91,-1.95383
-0.1790943071147865,-38.7055,-0.7520609937763747,-0.2381673365284133,85,-4.22083
-0.0519347888318952,-40.1183,-0.1738797079393198,-0.7609664182948268,88,-2.88769
-0.3618159844714812,-36.6347,-0.2293856416822126,-0.4195847666615468,84,-6.4282
-0.2301216818647233,-41.0831,-0.2971119838350602,-0.0863562209270015,89,-8.21954
-0.1874180066735844,-54.1615,-0.4521818648481968,-0.3250928425242045,53,-31.8665
-0.8096429575157884,-39.448,-0.3271159275819491,-0.448474506844454,88,-6.08911
-0.5419528072107583,-56.3632,-0.9223676084566248,-0.9952172540260597,65,-15.194
-0.760237211036308,-66.8972,-0.9439560867657952,-0.2406984372863142,68,-9.82581
-0.52685537271379,-50.3749,-0.4278867555279938,-0.1931053356659064,64,-17.396
-0.0027933724558861,-36.914,-0.8490302242961274,-0.5909275502185338,84,-5.58362
-0.319766269558759,-42.5419,-0.7394129696368427,-0.9127444079137716,33,-19.0671
-0.9903347361372696,-51.0737,-0.0184760757420334,-0.021551954133935,18,-21.682
-0.594984450902357,-50.1657,-0.397414469115947,-0.4788485243290427,64,-16.4127
-0.6286394993945285,-49.6451,-0.6775858929322205,-0.1265978062858321,17,-21.2325
-0.984995021996751,-48.9922,-0.464383639388199,-0.4187164933864877,41,-24.6606
-0.4645656475760442,-38.1113,-0.3467449415383405,-0.7084213816699862,75,-10.5437
-0.728900945950842,-37.631,-0.6118146126655842,-0.2860377744616115,87,-7.74312
-0.5894806621139144,-36.5075,-0.4317855444321452,-0.2656705083947273,84,-5.49229
-0.214908882014474,-41.1261,-0.7623004102345989,-0.7808811542238502,27,-20.0778
-0.6916481749763735,-43.3275,-0.6238407191441601,-0.4993382387804473,98,-4.13631
-0.7653438165985991,-41.0095,-0.611169659976709,-0.3521269056986233,87,-8.51136
-0.2044263727907531,-50.3861,-0.701313985951901,-0.7594091732853198,91,-0.154874
-0.8368878286552393,-35.9447,-0.4738562702790091,-0.8753949917624108,81,-8.45966
-0.9531937323281112,-42.6664,-0.5642103218887398,-0.2831703093502512,86,-5.79676
-0.73791240192334,-49.822,-0.3813409715428723,-0.2791780075537031,47,-27.4087
-0.9551578587827562,-49.708,-0.5361228786946366,-0.7300940897101833,47,-27.2662
-0.6240066652546711,-50.4791,-0.4624685565667147,-0.5912231325358036,94,-6.79053
-0.4991822170507367,-42.3806,-0.8729636105092431,-0.5022638794871459,33,-17.9914
-0.5097346725967695,-52.1601,-0.2550338866769362,-0.864145391024819,66,-14.051
-0.7715489511234481,-42.637,-0.3091062378930822,-0.4543064351242279,86,-5.88856
-0.2949237043971818,-37.6357,-0.1440710747795234,-0.6622494755715006,83,-7.51144
-0.4648636700940315,-37.938,-0.9759101617851168,-0.3771455340587192,82,-9.262
-0.2124126585433778,-52.879,-0.9876907539315536,-0.2710149789299537,67,-20.4452
-0.0683665746632776,-48.1069,-0.5245837805710148,-0.6544441388779674,34,-20.0576
-0.1252106006165132,-51.5528,-0.1486881399274732,-0.3227253783851213,49,-26.9985
-0.7516610938665867,-42.1189,-0.3591568329774129,-0.3754465829876328,98,-2.84048
-0.4951810043093798,-40.9854,-0.8061222768389313,-0.0481057383572662,27,-18.5482
-0.3305659644687339,-38.7639,-0.907867395007122,-0.5046193340863223,75,-11.8618
-0.4587635956630198,-47.7823,-0.9933893604331798,-0.3818551183945565,62,-14.9778
-0.8949911764369977,-48.7603,-0.7421151412678663,-0.666213678105577,64,-18.0771
-0.938765007399718,-38.2941,-0.9000488636679781,-0.9444065699493596,84,-6.20351
-0.2862902011905395,-35.5263,-0.9863616079275366,-0.600478854575135,81,-8.70609
-0.3056036473608555,-52.031,-0.861835970102938,-0.2917156386404044,54,-28.1672
-0.5815112468375582,-46.9735,-0.1310782164850314,-0.6069229528310807,19,-22.0572
-0.9153121284489038,-45.3915,-0.0717700016673339,-0.0080345055489483,35,-20.9439
-0.6717722101636667,-37.1226,-0.5290609102812283,-0.8288639610363159,87,-9.11125
-0.9046280420766324,-46.7176,-0.3252666961570196,-0.5433986954857136,19,-21.9319
-0.4286051189318414,-52.9808,-0.5003788499723226,-0.594654570725205,49,-27.0754
-0.4578726126631739,-46.6314,-0.5704867895790926,-0.760052198029311,19,-22.4733
-0.0468607195931383,-49.2421,-0.3644684600456421,-0.5199910804836169,14,-22.8812
-0.1775662570240643,-47.8734,-0.6751140767177615,-0.0341871514007343,19,-22.5977
-0.3006858369200286,-40.9384,-0.4589167206114436,-0.4659148044740685,33,-17.0802
-0.1177644684972638,-52.8568,-0.4958594267140265,-0.2625389347332739,49,-26.8794
-0.4647147742629004,-48.2816,-0.4527199532377057,-0.4116082977820492,61,-15.7617
-0.5500140768453725,-48.8243,-0.3248045408646093,-0.8098569259987822,48,-27.6963
-0.264618287929231,-41.4571,-0.4298523953187587,-0.4447950144137337,33,-15.7431
-0.8761360527883224,-53.2515,-0.8664963011922542,-0.5438200636438058,55,-29.6447
-0.0740310150647954,-48.9863,-0.074925748761215,-0.735774569599177,14,-22.4694
-0.1290388187013047,-49.3343,-0.6219454980457084,-0.106451215316714,41,-25.9899
-0.5551428449377198,-40.7437,-0.9436987906341988,-0.5781806925456703,27,-18.9846
-0.8547530553286765,-38.1681,-0.3978850523477131,-0.9439781531527152,83,-7.0918
-0.000844130063074,-47.4702,-0.3109251346066988,-0.4423010763979113,63,-6.55409
-0.8617744634524579,-41.0746,-0.4604150378731818,-0.9162822576239554,33,-19.5007
-0.5529405150836795,-39.8937,-0.2900261726951464,-0.5308632529730833,73,-14.1269
-0.5605150329402232,-40.1178,-0.378280508850534,-0.5125700343671383,88,-6.57122
-0.523819957821223,-44.6042,-0.6726857672409108,-0.9577037097173302,35,-21.9736
-0.160204437843539,-53.7757,-0.7144699122956054,-0.1551449872782183,55,-28.2342
-0.5392152218312161,-44.6413,-0.3897917308529584,-0.6194882513304245,35,-22.171
-0.1232031104389971,-35.6206,-0.2277860324535944,-0.5864823027208302,83,-7.03943
-0.4704871341115568,-35.7591,-0.1903958588515006,-0.3419335230121711,83,-7.05377
-0.4639220158045346,-35.5332,-0.7374393581712018,-0.4273353942521262,83,-6.94657
-0.6991416126313995,-36.7788,-0.6178943304254277,-0.4402288741607468,87,-8.4665
-0.3665743446890631,-40.9282,-0.0557167561264744,-0.7395464186852765,89,-7.00039
-0.0420465516330172,-38.4208,-0.0941523354783059,-0.902898746773166,75,-12.1335
-0.3641185008194262,-47.898,-0.1346239688139083,-0.2292143025364563,15,-23.5503
-0.7146574421883757,-46.6139,-0.3569277128423817,-0.5511210967305274,35,-22.2018
-0.0605216391708974,-44.4062,-0.8749774751760752,-0.9087518099243994,98,-2.39574
-0.4051718901263083,-40.5479,-0.3992668258788814,-0.3048733125648497,88,-3.58537
-0.1078632814889761,-36.0511,-0.5082239902576356,-0.7793098631314718,83,-7.73668
-0.2096846375233781,-53.7042,-0.2177777368545915,-0.1126321725580016,67,-18.3255
-0.2316187090785316,-39.2036,-0.3293665899678309,-0.6998782448204067,73,-17.5195
-0.6618050193165459,-43.4689,-0.1785305680091108,-0.4415692666838632,99,-4.62621
-0.307148529672118,-54.7649,-0.8516100330401071,-0.0409511774034972,55,-27.6579
-0.5385117609395111,-41.5382,-0.9341300164075828,-0.1422533251181936,28,-20.758
-0.2035502329673274,-55.7949,-0.8281763208913906,-0.6815192547921928,55,-29.7902
-0.2286143354813102,-40.8566,-0.6072665405776762,-0.7308982726287677,89,-7.24196
-0.3223947813113953,-54.0557,-0.3336678839204171,-0.1223790437889328,55,-27.8345
-0.9006561371272813,-42.7176,-0.9856969323839984,-0.5293204789121619,32,-21.8797
-0.5515954122606894,-54.7384,-0.3862969831029489,-0.5879209933488907,93,-1.94623
-0.8767545735577565,-38.0142,-0.3448269405182891,-0.1109178953362768,84,-6.40533
-0.2412948344883592,-48.5076,-0.7351677872072021,-0.007897924561256,62,-16.0834
-0.3543184970874126,-45.9477,-0.7060224435515572,-0.0954091813806647,35,-21.4256
-0.8694879389205571,-40.7543,-0.2463251017074106,-0.638753271026657,27,-20.6396
-0.2085979642553307,-51.414,-0.7782870483071019,-0.0336348670395093,18,-21.9527
-0.7025675746497928,-43.7718,-0.7189971953795129,-0.8221154064151918,32,-21.1535
-0.3427372027354591,-49.3273,-0.6246543139300376,-0.5346023385153204,48,-27.7001
